id,name,prefecture,managementNo,licenseNo,startPosition,latitude,longitude,whereToGet,distance
94,憩いの森,石川,5,372,憩いの森総合案内所,,,ネットプリント JOAP372A、憩いの森総合案内所(0761-24-4558),3.5
95,県森林公園(あがたの森),石川,6,507,森林公園インフォメーションセンター,,,ネットプリント JOAP507A、森林公園インフォメーションセンター(076-288-6449),5.5
96,鳥屋,石川,7,598,ふるさと創修館,,,ネットプリント JOAP598A、ふるさと創修館(0767-74-2735),7.5
97,歴史国道・倶利伽羅,石川,9,792,倶利伽羅塾,,,ネットプリント JOAP792A、倶利伽羅塾売店(076-288-8668),5
98,卯辰山,石川,10,793,奥卯辰健民公園,,,ネットプリント JOAP793A、奥卯辰山のびのび交流館とんぼテラス(076-264-0395),4
99,医王の里,石川,12,794,医王の里オートキャンプ場,,,ネットプリント JOAP794A、医王の里オートキャンプ場(076-229-1312),3
100,坪野・平栗,石川,13,795,平栗いこいの森駐車場,,,ネットプリント JOAP795A、平栗いこいの森駐車場建物内(OL地図入れ箱),5
101,宇ノ気,石川,14,796,宇ノ気体育センター,,,ネットプリントJOAP796A、宇ノ気体育センター(076-283-4505),7
102,辰口丘陵公園,石川,15,797,辰口丘陵公園管理事務所,,,ネットプリントJOAP797A、辰口丘陵公園管理事務所(0761-51-4166),3
103,一口生水,石川,17,798,一口生水地蔵公園,,,"ネットプリント JOAP798A、小松市OL協会事務局(0761-44-4804)
",6.5
104,キゴ山,石川,18,769,キゴ山ふれあいの研修センター,,,ネットプリントJOAP769A、キゴ山ふれあい研修センター青少年交流棟(076-229-0583),3.5
105,文殊,福井,6,336,大土呂駅前,,,加藤たばこ店,10
106,テクノポート福井総合公園,福井,21,783,テクノポート福井総合公園管理事務所,,,テクノポート福井総合公園管理事務所(0776-81-61459,1.7
107,足羽山(ファミリーコース),福井,22,803,福井市自然史博物館前,,,福井市自然史博物館(0776-35-2844),3.3
108,足羽山(九頭竜コース),福井,22,803,福井市自然史博物館前,,,福井市自然史博物館(0776-35-2844),3.6
109,皇子山,滋賀,4,81,皇子が丘公園内(旧ユー スホステル前),,,大津市市役所市民スポーツ課(0775-28-2637),8
110,マキノ土に学ぶ里,滋賀,8,579,マキノ高原管理事務所,,,マキノ高原管理事務所(0740-27-0936),10
111,天王山,京都,1,106,大山崎駅前,,,ネットプリントJOAP106A,10
112,丹波町丹波高原,京都,2,107,丹波自然運動公園体育館前,,,丹波自然運動公園宿泊棟売店,10
113,行者山北麓S,京都,4,109,千代川駅前,,,ネットプリントJOAP109S,5.3
114,行者山北麓L,京都,4,109,千代川駅前,,,ネットプリントJOAP109L,7.2
115,山城の里,京都,6,248,上狛駅前,,,駅前福井タバコ店,10
116,宇治平等院太陽が丘A,京都,7,332,京阪宇治駅前,,,太陽が丘食堂管理事務所,10
117,宇治平等院太陽が丘B,京都,7,332,京阪宇治駅前,,,太陽が丘食堂管理事務所,8
118,宇治平等院太陽が丘C,京都,7,332,京阪宇治駅前,,,太陽が丘食堂管理事務所,8
119,宇治平等院太陽が丘D,京都,7,332,京阪宇治駅前,,,太陽が丘食堂管理事務所,6
120,四ツ尾山,京都,8,420,綾部市民センター,,,綾部市民センター,10
121,福知山市三段池公園,京都,10,791,三段池公園内武道館前,,,三段池公園内,4
122,太陽が丘(Score),京都,,789,太陽が丘管理棟を含んで自由に設定可,,,太陽が丘管理事務所,4
123,丹波自然運動公園(Score),京都,,790,丹波自然運動公園事務所前他自由に設定可,,,運動公園管理事務所,4
124,高円山,奈良,4,261,ならまちセンター,,,ならまちセンター1階総合事務所,10
125,橿原万葉,奈良,7,407,橿原市中央体育館,,,橿原市中央体育館,10
126,橿原万葉(香久山コース),奈良,7,407,香久山体育館,,,香久山体育館,5
127,高取A,奈良,11,778,リベルテホール,,,高取町教育委員会、リベルテホール,10
128,高取B,奈良,11,778,リベルテホール,,,高取町教育委員会、リベルテホール,8
129,能勢城山山麓,大阪,1,81,能勢町役場,,,ネットプリントJOAP081A,8
130,室池飯盛山,大阪,11,503,四條畷神社,,,ネツトプリントJOAP503A、アウトドアショップ「ソトアソ」,10
131,私市府民の森,大阪,13,599,私市駅前,,,ネツトプリントJOAP503A、アウトドアショップ「ソトアソ」,9
132,服部緑地,大阪,15,741,緑地公園内レストハウス,,,ネットプリントJOAP741A、園内レストハウス,8.5
133,大泉緑地,大阪,16,742,中央休憩所,,,ネットプリントJOAP742A,3.3
134,大阪城公園,大阪,18,746,大阪城公園入口,,,ネットプリントJOAP746A,8
135,鶴見緑地,大阪,20,762,レストハウスつるみ前,,,ネットプリントJOAP762A,5.5
136,暗峠ロング,大阪,17,788,枚岡神社拝殿前,,,ネットプリントJOAP788A、枚岡神社社務所,7
137,暗峠ショート,大阪,17,788,枚岡公園入り口(グリーンガーデンひらおか南側の案内板),,,ネットプリントJOAP788B,3
138,甲山,兵庫,2,92,甲山大師前,,,甲山大師前さくら茶屋,3
139,三田,兵庫,5,95,三田駅前,,,ネットプリントJOAP095A,10
140,神鍋高原A,兵庫,11,101,道の駅「神鍋高原」,,,ネットプリントJOAP101A、道の駅「神鍋高原」内日高神鍋観光協会,13
141,神鍋高原B,兵庫,11,101,道の駅「神鍋高原」,,,ネットプリントJOAP101B、道の駅「神鍋高原」内日高神鍋観光協会,10
142,神鍋高原C,兵庫,11,101,道の駅「神鍋高原」,,,ネットプリントJOAP101C、道の駅「神鍋高原」内日高神鍋観光協会,4
143,柏原A,兵庫,15,240,丹波の森公苑、柏原駅前,,,ネットプリントJOAP240A,10
144,柏原B,兵庫,15,240,丹波の森公苑、柏原駅前,,,ネットプリントJOAP240B,10
145,六甲山,兵庫,19,589,六甲山頂駅前,,,ネットプリントJOAP589A,6
146,播州赤穂,兵庫,22,633,播州赤穂駅前,,,ネットプリントJOAP633A,10
147,三木ホースランドパークA,兵庫,25,776,三木ホースランドパーク内エオの森研修センター,,,エオの森研修センター(0794-86-1771),9.5
148,三木ホースランドパークB,兵庫,25,776,三木ホースランドパーク内エオの森研修センター,,,エオの森研修センター(0794-86-1771),8
149,三木ホースランドパークC,兵庫,25,776,三木ホースランドパーク内エオの森研修センター,,,エオの森研修センター(0794-86-1771),8
150,ハチ北高原A,兵庫,802,802,ゲレンデ駐車場,,,ネットプリントJOAP802A,7.5
151,ハチ北高原B,兵庫,802,802,ゲレンデ駐車場,,,ネットプリントJOAP802B,4.5
152,ハチ北高原C,兵庫,802,802,ハチ北観光協会,,,ネットプリントJOAP802C,6.6
153,紀伊風土記の丘,和歌山,9,721,松下記念資料館前,,,紀伊風土記の丘管理事務所,6
154,備前,岡山,10,242,伊部駅前,,,伊部駅売店,10
155,岡山操山,岡山,15,448,岡山市奥市グラウンド,,,岡山県オリエンテーリング協会,8
156,白石島,岡山,22,621,笠岡市海洋センター,,,笠岡市海洋センター,10
157,備前長船,岡山,23,665,長船駅前,,,三宅釣具店,10
158,岡山貝殻山,岡山,25,690,元国民宿舎岡山桃太郎荘跡,,,岡山県オリエンテーリング協会,10
159,宮島,広島,4,134,宮島桟橋観光案内所,,,宮島桟橋観光案内所,10
160,野呂山,広島,8,138,野呂高原ロッジ広場,,,野呂高原ロッジ,10
161,坂町第一,広島,16,182,坂町公民館,,,坂町公民館,10
162,坂町第二,広島,17,183,小屋浦ふれあいセンター,,,小屋浦ふれあいセンター,10
163,庄原・七塚原,広島,20,322,七塚原青年の家,,,七塚原青年の家,10
164,風土記の丘,島根,5,271,県立風土記の丘,,,県立風土記の丘資料館,10
165,松江市古江町,島根,6,272,松江レークサイドユースホステル,,,松江レークサイドユースホステル,10
166,岩国城山,山口,12,469,錦帯橋西公園入口,,,伊藤酒店,10
167,光市民の森,山口,18,571,スポーツ公園事務所,,,光オリエンテーリングクラブ(0833-71-0065),10
168,光・峨嵋山,山口,19,572,室積公民館,,,光オリエンテーリングクラブ(0833-71-0065),10
169,由宇・大将軍,山口,28,754,由宇町文化会館,,, 由宇町文化会館、由宇町教育委員会,10
170,善通寺,香川,4,270,善通寺市役所,,,善通寺市役所総合会館内生涯学習課スポーツ振興室,11
171,国営讃岐まんのう公園,香川,9,782,国営讃岐まんのう公園,,,国営讃岐まんのう公園(0877-79-1700),4.4
172,阿波池田,徳島,7,468,池田公民館,,,総合体育館,8
173,桜井,愛媛,1,204,クアハウス今治,,,ネットプリントJOAP204A、クアハウス今治,10
174,中山池,愛媛,3,206,三間町中央公民館,,,三間町教委,12
175,久万高原ふるさと村,愛媛,8,752,ふるさと旅行村,,,ふるさと旅行村、久万町教育委員会,10
176,レインボーハイランドA,愛媛,10,766,松山市野外活動センター広場,,,ネットプリントJOAP766A、管理事務所,3
177,レインボーハイランドB,愛媛,10,766,松山市野外活動センター広場,,,ネットプリントJOAP766B、管理事務所,4
178,レインボーハイランドC,愛媛,10,766,松山市野外活動センター広場,,,ネットプリントJOAP766C、管理事務所,6
179,愛媛県総合運動公園A,愛媛,11,804,愛媛県総合運動公園管理事務所,,,愛媛県総合運動公園管理事務所,4.8
180,愛媛県総合運動公園B,愛媛,11,804,愛媛県総合運動公園管理事務所,,,愛媛県総合運動公園管理事務所,3.4
181,愛媛県総合運動公園C,愛媛,11,804,愛媛県総合運動公園管理事務所,,,愛媛県総合運動公園管理事務所,3.3
182,愛媛県総合運動公園D,愛媛,11,804,愛媛県総合運動公園管理事務所,,,愛媛県総合運動公園管理事務所,3.4
183,玄海青年の家,福岡,1,151,玄海青年の家,,,玄海青年の家,9
184,足立青少年の家,福岡,2,152,足立青少年の家,,,足立青少年の家,8
185,油山市民の森,福岡,16,500,油山市民の森観光協会売店前広場,,,油山市民の森観光協会売店,8
186,油山A,福岡,24,658,油山市民の森観光協会売店前広場,,,油山市民の森観光協会売店,7
187,油山B,福岡,25,659,油山市民の森観光協会売店前広場,,,油山市民の森観光協会売店,5
188,高良山,福岡,26,682,御井町バス停横御井町交番,,,赤坂商店,8
189,海の中道海浜公園,福岡,30,732,公園西ゲート,,,公園西ゲート券売所,5
190,西有田唐船城,佐賀,20,557,唐船城公園広場,,,佐賀県ＯＬ委員会,10
191,烏帽子岳,長崎,2,165,県立青少年の天地,,,県立青少年の天地,10
192,こしき岩,長崎,3,166,日吉青年の家,,,長崎市市民局市民生活部スポーツ振興課,10
193,稲佐山,長崎,9,181,稲佐山公園管理事務所,,,長崎市市民局市民生活部スポーツ振興課,7
194,雲仙,長崎,15,255,雲仙観光協会,,,雲仙観光協会,9
195,菊池少年自然の家,熊本,10,453,菊池少年自然の家,,,菊池少年自然の家,9
